# HYETOGRAPH FILE
# Filename=rain_sta08057320_1975_0527.dat
# site=08057320 Ash Creek at Highland Road, Dallas, Texas
# latitude=36()48'18"
# longitude=96()43'04"
# drainage_area(mi2)=6.92
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# PRECIP1=Gage 14-W raw recorded precipitation in inches
# PRECIP2=Gage 15-W raw recorded precipitation in inches
# ACCUM_WTD_PRECIP=weighted cumulative precipitation in inches
DATE_TIME    HOURS_PASSED    PRECIP1    PRECIP2    ACCUM_WTD_PRECIP
05/27/1975@21:00:00    0.0000    0.0000    0.0000    0.0000
05/27/1975@21:15:00    0.2500    0.2000    0.1100    0.1200
05/27/1975@21:30:00    0.5000    0.7200    0.2200    0.2800
05/27/1975@21:45:00    0.7500    2.0200    0.5400    0.7200
05/27/1975@22:00:00    1.0000    2.1400    1.3400    1.4400
05/27/1975@22:15:00    1.2500    2.1600    1.8500    1.8900
05/27/1975@22:30:00    1.5000    2.1800    1.8600    1.9000
05/27/1975@22:45:00    1.7500    2.1800    1.8600    1.9000
05/27/1975@23:00:00    2.0000    2.1800    1.8600    1.9000
05/27/1975@23:15:00    2.2500    2.1800    1.8600    1.9000
05/27/1975@23:30:00    2.5000    2.1800    1.8600    1.9000
05/27/1975@23:45:00    2.7500    2.1800    1.8600    1.9000
05/28/1975@00:00:00    3.0000    2.1800    1.8600    1.9000
05/28/1975@00:15:00    3.2500    2.1800    1.8600    1.9000
05/28/1975@00:30:00    3.5000    2.1800    1.8600    1.9000
05/28/1975@00:45:00    3.7500    2.1800    1.8600    1.9000
05/28/1975@01:00:00    4.0000    2.1800    1.8600    1.9000
05/28/1975@01:30:00    4.5000    2.1900    1.8900    1.9300
05/28/1975@02:00:00    5.0000    2.2000    1.8900    1.9300
05/28/1975@02:30:00    5.5000    2.2000    1.8900    1.9300
05/28/1975@03:00:00    6.0000    2.2000    1.8900    1.9300
05/28/1975@03:30:00    6.5000    2.2500    1.9000    1.9400
05/28/1975@04:00:00    7.0000    2.2700    1.9300    1.9700
05/28/1975@04:30:00    7.5000    2.3100    2.0000    2.0400
05/28/1975@05:00:00    8.0000    2.3400    2.0400    2.0800
05/28/1975@05:30:00    8.5000    2.3400    2.0600    2.0900
05/28/1975@06:00:00    9.0000    2.3400    2.0600    2.0900
05/28/1975@06:30:00    9.5000    2.3400    2.0600    2.0900
05/28/1975@07:00:00    10.0000    2.3400    2.0600    2.0900
05/28/1975@07:30:00    10.5000    2.3400    2.0600    2.0900
05/28/1975@08:00:00    11.0000    2.3400    2.0600    2.0900
05/28/1975@09:00:00    12.0000    2.3400    2.0600    2.0900
05/28/1975@10:00:00    13.0000    2.3400    2.0600    2.0900
05/28/1975@12:00:00    15.0000    2.3600    2.0600    2.1000
05/28/1975@13:00:00    16.0000    2.3600    2.0600    2.1000
05/28/1975@14:30:00    17.5000    2.3900    2.0600    2.1000
05/28/1975@14:45:00    17.7500    2.4100    2.0600    2.1000
05/28/1975@15:00:00    18.0000    2.4200    2.0600    2.1000
05/28/1975@15:30:00    18.5000    2.4400    2.0600    2.1100
